Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
23.2823109830097,-96,-1.24618425701635,Other
23.2923064320388,-152,-1.03132490235836,Other
23.302301881068,-202,-0.816465547700368,Other
23.3122973300971,-215,-0.601606193042377,Other
23.3222927791262,-186,-0.401070795361584,Other
23.3322882281553,-149,-0.229183311635191,Other
23.3422836771845,-110,-0.0716197848859972,Other
23.3522791262136,-71,0.0859437418631967,Other
23.3622745752427,-53,0.25783122558959,COM-Above-Heal-Left
23.3722700242718,-71,0.444042666293183,Other
23.382265473301,-91,0.673225977928374,Other
23.3922609223301,-78,0.916733246540764,Other
23.4022563713592,-52,1.20321238608475,Other
23.4122518203883,-37,1.48969152562874,Other
23.4222472694175,-27,1.76184670819553,Other
23.4322427184466,-25,2.01967793378512,Other
23.4422381674757,-15,2.26318520239751,Other
23.4522336165049,2,2.5066924710099,Other
23.462229065534,12,2.72155182566789,Other
23.4722245145631,18,2.92208722334869,Other
23.4822199635922,27,3.12262262102948,Other
23.4922154126214,39,3.32315801871027,Other
23.5022108616505,38,3.48072154545947,Other
23.5122063106796,26,3.60963715825426,Other
23.5222017597087,14,3.72422881407186,Other
23.5321972087379,24,3.81017255593505,Other
23.542192657767,32,3.85314442686665,COM-Above-Toe-Left
23.5521881067961,15,3.88179234082105,Other
23.5621835558252,8,3.86746838384385,Other
23.5721790048544,10,3.83882046988945,Other
23.5821744538835,17,3.76720068500345,Other
23.5921699029126,10,3.65260902918586,Other
23.6021653519417,2,3.50936945941386,Other
23.6121608009709,0,3.36612988964187,Other
23.62215625,12,3.20856636289268,Other
23.6321516990291,23,3.05100283614348,Other
23.6421471480582,32,2.92208722334869,Other
23.6521425970874,51,2.86479139543989,Other
23.6621380461165,66,2.83614348148549,Other
23.6721334951456,83,2.85046743846269,Other
23.6821289441748,110,2.85046743846269,Other
23.6921243932039,149,2.82181952450829,Other
23.702119842233,212,2.73587578264509,Other
23.7121152912621,279,2.5926362128731,Other
23.7221107402913,313,2.40642477216951,Other
23.7321061893204,295,2.20588937448871,Other
23.7421016383495,208,2.00535397680792,Other
23.7520970873786,57,1.84779045005873,Other
23.7620925364078,-133,1.77617066517273,Other
23.7720879854369,-438,1.86211440703593,Other
23.782083434466,-714,2.09129771867112,Other
23.7920788834951,-818,2.43507268612391,Other
23.8020743325243,-702,2.80749556753109,Other
23.8120697815534,-504,3.12262262102948,Other
23.8220652305825,-336,3.39477780359627,Other
23.8320606796116,-186,3.55234133034546,Other
